id,name,state,district_id,party,phone,committee_assignments,website,created_at
37,"Brecheen, Josh",Oklahoma,02,R,(202) 225-2701,Budget|Homeland Security,https://brecheen.house.gov/,2025-03-13 10:18:19.840643
38,"Bresnahan, Robert",Pennsylvania,08,R,(202) 225-5546,Agriculture|Transportation and Infrastructure|Small Business,https://bresnahan.house.gov/,2025-03-13 10:18:19.841604
39,"Brown, Shontel",Ohio,11,D,(202) 225-7032,Agriculture|Oversight and Government Reform|Select Comm on the Strategic Competition US and China,https://shontelbrown.house.gov/,2025-03-13 10:18:19.842562
40,"Brownley, Julia",California,26,D,(202) 225-5811,Natural Resources|Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov/,2025-03-13 10:18:19.84359
41,"Buchanan, Vern",Florida,16,R,(202) 225-5015,Joint Committee on Taxation|Ways and Means,https://buchanan.house.gov/,2025-03-13 10:18:19.844614
42,"Budzinski, Nikki",Illinois,13,D,(202) 225-2371,Agriculture|Veterans' Affairs,https://budzinski.house.gov/,2025-03-13 10:18:19.845685
43,"Burchett, Tim",Tennessee,02,R,(202) 225-5435,Foreign Affairs|Oversight and Government Reform|Transportation and Infrastructure,https://burchett.house.gov/,2025-03-13 10:18:19.84708
44,"Burlison, Eric",Missouri,07,R,(202) 225-6536,Oversight and Government Reform|Transportation and Infrastructure,https://burlison.house.gov/,2025-03-13 10:18:19.847931
45,"Bynum, Janelle",Oregon,05,D,(202) 225-5711,Financial Services,https://bynum.house.gov/,2025-03-13 10:18:19.848996
46,"Calvert, Ken",California,41,R,(202) 225-1986,Appropriations,https://calvert.house.gov/,2025-03-13 10:18:19.849902
47,"Cammack, Kat",Florida,03,R,(202) 225-5744,Agriculture|Energy and Commerce,https://cammack.house.gov/,2025-03-13 10:18:19.850791
48,"Carbajal, Salud",California,24,D,(202) 225-3601,Armed Services|Transportation and Infrastructure,https://carbajal.house.gov/,2025-03-13 10:18:19.851623
49,"Carey, Mike",Ohio,15,R,(202) 225-2015,Budget|House Administration|Ways and Means,https://carey.house.gov/,2025-03-13 10:18:19.852552
50,"Carson, Andre",Indiana,07,D,(202) 225-4011,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://carson.house.gov/,2025-03-13 10:18:19.853865
51,"Carter, Earl",Georgia,01,R,(202) 225-5831,Budget|Energy and Commerce,https://buddycarter.house.gov/,2025-03-13 10:18:19.854667
52,"Carter, John",Texas,31,R,(202) 225-3864,Appropriations,https://carter.house.gov/,2025-03-13 10:18:19.855522
53,"Carter, Troy",Louisiana,02,D,(202) 225-6636,Energy and Commerce,https://troycarter.house.gov/,2025-03-13 10:18:19.856362
54,"Casar, Greg",Texas,35,D,(202) 225-5645,Education and Workforce|Oversight and Government Reform,https://casar.house.gov/,2025-03-13 10:18:19.85739
55,"Case, Ed",Hawaii,01,D,(202) 225-2726,Appropriations,https://case.house.gov/,2025-03-13 10:18:19.858471
56,"Casten, Sean",Illinois,06,D,(202) 225-4561,Financial Services,https://casten.house.gov/,2025-03-13 10:18:19.85956
57,"Castor, Kathy",Florida,14,D,(202) 225-3376,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://castor.house.gov/,2025-03-13 10:18:19.860572
58,"Castro, Joaquin",Texas,20,D,(202) 225-3236,Foreign Affairs|Intelligence,https://castro.house.gov/,2025-03-13 10:18:19.861545
59,"Cherfilus-McCormick, Sheila",Florida,20,D,(202) 225-1313,Foreign Affairs|Veterans' Affairs,https://cherfilus-mccormick.house.gov/,2025-03-13 10:18:19.86239
60,"Chu, Judy",California,28,D,(202) 225-5464,Budget|Ways and Means,https://chu.house.gov/,2025-03-13 10:18:19.863387
61,"Ciscomani, Juan",Arizona,06,R,(202) 225-2542,Appropriations|Veterans' Affairs,https://ciscomani.house.gov/,2025-03-13 10:18:19.86445
62,"Cisneros, Gilbert",California,31,D,(202) 225-5256,Armed Services|Small Business,https://cisneros.house.gov/,2025-03-13 10:18:19.865422
63,"Clark, Katherine",Massachusetts,05,D,(202) 225-2836,"",https://katherineclark.house.gov/index.cfm/home,2025-03-13 10:18:19.866241
64,"Clarke, Yvette",New York,09,D,(202) 225-6231,Energy and Commerce,https://clarke.house.gov/,2025-03-13 10:18:19.867088
65,"Cleaver, Emanuel",Missouri,05,D,(202) 225-4535,Financial Services,https://cleaver.house.gov/,2025-03-13 10:18:19.867919
66,"Cline, Ben",Virginia,06,R,(202) 225-5431,Appropriations|Budget|Intelligence|Judiciary,https://cline.house.gov/,2025-03-13 10:18:19.868736
67,"Cloud, Michael",Texas,27,R,(202) 225-7742,Appropriations|Oversight and Government Reform,https://cloud.house.gov/,2025-03-13 10:18:19.869769
68,"Clyburn, James",South Carolina,06,D,(202) 225-3315,Appropriations,https://clyburn.house.gov/,2025-03-13 10:18:19.870633
69,"Clyde, Andrew",Georgia,09,R,(202) 225-9893,Appropriations|Budget,https://clyde.house.gov/,2025-03-13 10:18:19.871476
70,"Cohen, Steve",Tennessee,09,D,(202) 225-3265,Judiciary|Transportation and Infrastructure,https://cohen.house.gov/,2025-03-13 10:18:19.87233
71,"Cole, Tom",Oklahoma,04,R,(202) 225-6165,Appropriations,https://cole.house.gov/,2025-03-13 10:18:19.873123
72,"Collins, Mike",Georgia,10,R,(202) 225-4101,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://collins.house.gov/,2025-03-13 10:18:19.874017
73,"Comer, James",Kentucky,01,R,(202) 225-3115,Education and Workforce|Oversight and Government Reform,https://comer.house.gov/,2025-03-13 10:18:19.87491
74,"Conaway, Herbert",New Jersey,03,D,(202) 225-4765,Small Business|Veterans' Affairs,https://conaway.house.gov/,2025-03-13 10:18:19.875786
75,"Connolly, Gerald",Virginia,11,D,(202) 225-1492,Foreign Affairs|Oversight and Government Reform,https://connolly.house.gov/,2025-03-13 10:18:19.876634
76,"Correa, J.",California,46,D,(202) 225-2965,Homeland Security|Judiciary,https://correa.house.gov/,2025-03-13 10:18:19.877417
77,"Costa, Jim",California,21,D,(202) 225-3341,Agriculture|Foreign Affairs,https://costa.house.gov/,2025-03-13 10:18:19.878315
78,"Courtney, Joe",Connecticut,02,D,(202) 225-2076,Armed Services|Education and Workforce,https://courtney.house.gov/,2025-03-13 10:18:19.879157
79,"Craig, Angie",Minnesota,02,D,(202) 225-2271,Agriculture,https://craig.house.gov/,2025-03-13 10:18:19.880035
80,"Crane, Elijah",Arizona,02,R,(202) 225-3361,Oversight and Government Reform|Homeland Security,https://crane.house.gov/,2025-03-13 10:18:19.88089
81,"Crank, Jeff",Colorado,05,R,(202) 225-4422,Armed Services|Natural Resources,https://crank.house.gov/,2025-03-13 10:18:19.881687
82,"Crawford, Eric",Arkansas,01,R,(202) 225-4076,Agriculture|Intelligence|Transportation and Infrastructure,https://crawford.house.gov/,2025-03-13 10:18:19.88251
83,"Crenshaw, Dan",Texas,02,R,(202) 225-6565,Energy and Commerce|Intelligence,https://crenshaw.house.gov/,2025-03-13 10:18:19.88348
84,"Crockett, Jasmine",Texas,30,D,(202) 225-8885,Oversight and Government Reform|Judiciary,https://crockett.house.gov/,2025-03-13 10:18:19.884279
85,"Crow, Jason",Colorado,06,D,(202) 225-7882,Armed Services|Intelligence,https://crow.house.gov/,2025-03-13 10:18:19.885075
86,"Cuellar, Henry",Texas,28,D,(202) 225-1640,Appropriations,https://cuellar.house.gov/,2025-03-13 10:18:19.885873
87,"Davids, Sharice",Kansas,03,D,(202) 225-2865,Agriculture|Transportation and Infrastructure,https://davids.house.gov/,2025-03-13 10:18:19.886713
88,"Davidson, Warren",Ohio,08,R,(202) 225-6205,Financial Services|Foreign Affairs,https://davidson.house.gov/,2025-03-13 10:18:19.88753
89,"Davis, Danny",Illinois,07,D,(202) 225-5006,Ways and Means,https://davis.house.gov/,2025-03-13 10:18:19.88843
90,"Davis, Donald",North Carolina,01,D,(202) 225-3101,Agriculture|Armed Services,https://dondavis.house.gov/,2025-03-13 10:18:19.88931
91,"Dean, Madeleine",Pennsylvania,04,D,(202) 225-4731,Appropriations,https://dean.house.gov/,2025-03-13 10:18:19.890102
92,"DeGette, Diana",Colorado,01,D,(202) 225-4431,Energy and Commerce,https://degette.house.gov/,2025-03-13 10:18:19.891126
93,"De La Cruz, Monica",Texas,15,R,(202) 225-9901,Agriculture|Financial Services,https://delacruz.house.gov/,2025-03-13 10:18:19.891968
94,"DeLauro, Rosa",Connecticut,03,D,(202) 225-3661,Appropriations,https://delauro.house.gov/,2025-03-13 10:18:19.892802
95,"DelBene, Suzan",Washington,01,D,(202) 225-6311,Ways and Means,https://delbene.house.gov/,2025-03-13 10:18:19.893627
96,"Deluzio, Christopher",Pennsylvania,17,D,(202) 225-2301,Armed Services|Transportation and Infrastructure,https://deluzio.house.gov/,2025-03-13 10:18:19.894557
97,"DeSaulnier, Mark",California,10,D,(202) 225-2095,Education and Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/,2025-03-13 10:18:19.895437
98,"DesJarlais, Scott",Tennessee,04,R,(202) 225-6831,Agriculture|Armed Services,https://desjarlais.house.gov/,2025-03-13 10:18:19.896648
99,"Dexter, Maxine",Oregon,03,D,(202) 225-4811,Natural Resources|Veterans' Affairs,https://dexter.house.gov/,2025-03-13 10:18:19.897689
100,"Diaz-Balart, Mario",Florida,26,R,(202) 225-4211,Appropriations,https://mariodiazbalart.house.gov/,2025-03-13 10:18:19.898554
101,"Dingell, Debbie",Michigan,06,D,(202) 225-4071,Energy and Commerce|Natural Resources,https://debbiedingell.house.gov/,2025-03-13 10:18:19.899517
102,"Doggett, Lloyd",Texas,37,D,(202) 225-4865,Budget|Joint Committee on Taxation|Ways and Means,https://doggett.house.gov/,2025-03-13 10:18:19.900361
103,"Donalds, Byron",Florida,19,R,(202) 225-2536,Financial Services|Oversight and Government Reform,https://donalds.house.gov/,2025-03-13 10:18:19.901282
104,"Downing, Troy",Montana,02,R,(202) 225-3211,Financial Services|Small Business,https://downing.house.gov/,2025-03-13 10:18:19.902072
105,"Dunn, Neal",Florida,02,R,(202) 225-5235,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://dunn.house.gov/,2025-03-13 10:18:19.902879
106,"Edwards, Chuck",North Carolina,11,R,(202) 225-6401,Appropriations|Budget,https://edwards.house.gov/,2025-03-13 10:18:19.903645
107,"Elfreth, Sarah",Maryland,03,D,(202) 225-4016,Armed Services|Natural Resources,https://elfreth.house.gov/,2025-03-13 10:18:19.904453
108,"Ellzey, Jake",Texas,06,R,(202) 225-2002,Appropriations|Small Business,https://ellzey.house.gov/,2025-03-13 10:18:19.90526
109,"Emmer, Tom",Minnesota,06,R,(202) 225-2331,Financial Services,https://emmer.house.gov/,2025-03-13 10:18:19.906282
110,"Escobar, Veronica",Texas,16,D,(202) 225-4831,Appropriations|Budget,https://escobar.house.gov/,2025-03-13 10:18:19.907139
111,"Espaillat, Adriano",New York,13,D,(202) 225-4365,Appropriations,https://espaillat.house.gov/,2025-03-13 10:18:19.907983
112,"Estes, Ron",Kansas,04,R,(202) 225-6216,Budget|Ways and Means,https://estes.house.gov/,2025-03-13 10:18:19.90883
113,"Evans, Dwight",Pennsylvania,03,D,(202) 225-4001,Ways and Means,https://evans.house.gov/,2025-03-13 10:18:19.909654
114,"Evans, Gabe",Colorado,08,R,(202) 225-5625,Homeland Security|Energy and Commerce,https://gabeevans.house.gov/,2025-03-13 10:18:19.91047
115,"Ezell, Mike",Mississippi,04,R,(202) 225-5772,Natural Resources|Transportation and Infrastructure,https://ezell.house.gov/,2025-03-13 10:18:19.911275
116,"Fallon, Pat",Texas,04,R,(202) 225-6673,Armed Services|Oversight and Government Reform|Intelligence,https://fallon.house.gov/,2025-03-13 10:18:19.912114
117,"Fedorchak, Julie",North Dakota,At Large,R,(202) 225-2611,Energy and Commerce,https://fedorchak.house.gov/,2025-03-13 10:18:19.913151
118,"Feenstra, Randy",Iowa,04,R,(202) 225-4426,Agriculture|Ways and Means,https://feenstra.house.gov/,2025-03-13 10:18:19.914055
119,"Fields, Cleo",Louisiana,06,D,(202) 225-3901,Financial Services,https://fields.house.gov/,2025-03-13 10:18:19.914921
120,"Figures, Shomari",Alabama,02,D,(202) 225-4931,Agriculture|Transportation and Infrastructure,https://figures.house.gov/,2025-03-13 10:18:19.915747
121,"Finstad, Brad",Minnesota,01,R,(202) 225-2472,Agriculture|Armed Services|Small Business,https://finstad.house.gov/,2025-03-13 10:18:19.916575
122,"Fischbach, Michelle",Minnesota,07,R,(202) 225-2165,Rules|Ways and Means,https://fischbach.house.gov/,2025-03-13 10:18:19.917363
123,"Fitzgerald, Scott",Wisconsin,05,R,(202) 225-5101,Financial Services|Judiciary,https://fitzgerald.house.gov/,2025-03-13 10:18:19.918255
124,"Fitzpatrick, Brian",Pennsylvania,01,R,(202) 225-4276,Intelligence|Ways and Means,https://fitzpatrick.house.gov/,2025-03-13 10:18:19.919098
125,"Fleischmann, Charles",Tennessee,03,R,(202) 225-3271,"Appropriations|Science, Space, and Technology",https://fleischmann.house.gov/,2025-03-13 10:18:19.919894
126,"Fletcher, Lizzie",Texas,07,D,(202) 225-2571,Energy and Commerce,https://fletcher.house.gov/,2025-03-13 10:18:19.920688
127,"Flood, Mike",Nebraska,01,R,(202) 225-4806,Financial Services,https://flood.house.gov/,2025-03-13 10:18:19.921526
128,"Fong, Vince",California,20,R,(202) 225-2915,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/,2025-03-13 10:18:19.922616
129,"Foster, Bill",Illinois,11,D,(202) 225-3515,Financial Services,https://foster.house.gov/,2025-03-13 10:18:19.923463
130,"Foushee, Valerie",North Carolina,04,D,(202) 225-1784,"Transportation and Infrastructure|Science, Space, and Technology",https://foushee.house.gov/,2025-03-13 10:18:19.924274
131,"Foxx, Virginia",North Carolina,05,R,(202) 225-2071,Education and Workforce|Oversight and Government Reform|Rules,https://foxx.house.gov/,2025-03-13 10:18:19.925098
132,"Frankel, Lois",Florida,22,D,(202) 225-9890,Appropriations,https://frankel.house.gov/,2025-03-13 10:18:19.925956
133,"Franklin, Scott",Florida,18,R,(202) 225-1252,"Appropriations|Science, Space, and Technology",https://franklin.house.gov/,2025-03-13 10:18:19.926744
134,"Friedman, Laura",California,30,D,(202) 225-4176,"Transportation and Infrastructure|Science, Space, and Technology",https://friedman.house.gov/,2025-03-13 10:18:19.927823
135,"Frost, Maxwell",Florida,10,D,(202) 225-2176,"Oversight and Government Reform|Science, Space, and Technology",https://frost.house.gov/,2025-03-13 10:18:19.928645
136,"Fry, Russell",South Carolina,07,R,(202) 225-9895,Energy and Commerce|Judiciary,https://fry.house.gov/,2025-03-13 10:18:19.929519
137,"Fulcher, Russ",Idaho,01,R,(202) 225-6611,Energy and Commerce|Natural Resources,https://fulcher.house.gov/,2025-03-13 10:18:19.930538
138,"Gaetz, Matt- Vacancy",Florida,01,R,(202) 225-4136,"",https://clerk.house.gov/members/FL01/vacancy,2025-03-13 10:18:19.931609
139,"Garamendi, John",California,08,D,(202) 225-1880,Armed Services|Transportation and Infrastructure,https://garamendi.house.gov/,2025-03-13 10:18:19.93242
140,"Garbarino, Andrew",New York,02,R,(202) 225-7896,Financial Services|Homeland Security,https://garbarino.house.gov/,2025-03-13 10:18:19.933214
141,"Garcia, Jesus",Illinois,04,D,(202) 225-8203,Judiciary|Transportation and Infrastructure,https://chuygarcia.house.gov/,2025-03-13 10:18:19.934061
142,"Garcia, Robert",California,42,D,(202) 225-7924,Oversight and Government Reform|Transportation and Infrastructure,https://robertgarcia.house.gov/,2025-03-13 10:18:19.934895
143,"Garcia, Sylvia",Texas,29,D,(202) 225-1688,Financial Services,https://sylviagarcia.house.gov/,2025-03-13 10:18:19.935684
144,"Gill, Brandon",Texas,26,R,(202) 225-7772,Budget|Oversight and Government Reform|Judiciary,https://gill.house.gov/,2025-03-13 10:18:19.936514
145,"Gillen, Laura",New York,04,D,(202) 225-5516,"Transportation and Infrastructure|Science, Space, and Technology",https://gillen.house.gov/,2025-03-13 10:18:19.937587
146,"Gimenez, Carlos",Florida,28,R,(202) 225-2778,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,https://gimenez.house.gov/,2025-03-13 10:18:19.938484
147,"Golden, Jared",Maine,02,D,(202) 225-6306,Armed Services|Natural Resources,https://golden.house.gov/,2025-03-13 10:18:19.939387
148,"Goldman, Craig",Texas,12,R,(202) 225-5071,Energy and Commerce,https://craiggoldman.house.gov/,2025-03-13 10:18:19.940262
149,"Goldman, Daniel",New York,10,D,(202) 225-7944,Homeland Security|Judiciary,https://goldman.house.gov/,2025-03-13 10:18:19.941096
150,"Gomez, Jimmy",California,34,D,(202) 225-6235,Intelligence|Ways and Means,https://gomez.house.gov/,2025-03-13 10:18:19.942066
151,"Gonzales, Tony",Texas,23,R,(202) 225-4511,Appropriations|Homeland Security,https://gonzales.house.gov/,2025-03-13 10:18:19.942869
152,"Gonzalez, Vicente",Texas,34,D,(202) 225-2531,Financial Services,https://gonzalez.house.gov/,2025-03-13 10:18:19.943649
153,"Gooden, Lance",Texas,05,R,(202) 225-3484,Armed Services|Judiciary,https://gooden.house.gov/,2025-03-13 10:18:19.944463
154,"Goodlander, Maggie",New Hampshire,02,D,(202) 225-5206,Armed Services|Small Business,https://goodlander.house.gov/,2025-03-13 10:18:19.945277
155,"Gosar, Paul",Arizona,09,R,(202) 225-2315,Oversight and Government Reform|Natural Resources,https://gosar.house.gov/,2025-03-13 10:18:19.946123
156,"Gottheimer, Josh",New Jersey,05,D,(202) 225-4465,Financial Services|Intelligence,https://gottheimer.house.gov/,2025-03-13 10:18:19.947117
157,"Graves, Sam",Missouri,06,R,(202) 225-7041,Armed Services|Transportation and Infrastructure,https://graves.house.gov/,2025-03-13 10:18:19.947911
158,"Gray, Adam",California,13,D,(202) 225-1947,Agriculture|Natural Resources,https://gray.house.gov/,2025-03-13 10:18:19.94883
159,"Green, Al",Texas,09,D,(202) 225-7508,Financial Services,https://algreen.house.gov/,2025-03-13 10:18:19.949643
160,"Green, Mark",Tennessee,07,R,(202) 225-2811,Foreign Affairs|Homeland Security,https://markgreen.house.gov/,2025-03-13 10:18:19.950484
371,"Simpson, Michael",Idaho,02,R,(202) 225-5531,Appropriations,https://simpson.house.gov/,2025-03-13 10:18:20.133484
161,"Greene, Marjorie",Georgia,14,R,(202) 225-5211,Oversight and Government Reform|Homeland Security,https://greene.house.gov/,2025-03-13 10:18:19.951281
162,"Griffith, H.",Virginia,09,R,(202) 225-3861,House Administration|Energy and Commerce|Rules,https://morgangriffith.house.gov/,2025-03-13 10:18:19.952135
163,"Grijalva, Raul",Arizona,07,D,(202) 225-2435,Education and Workforce|Natural Resources,https://grijalva.house.gov/,2025-03-13 10:18:19.9531
164,"Grothman, Glenn",Wisconsin,06,R,(202) 225-2476,Budget|Education and Workforce|Oversight and Government Reform|Judiciary,https://grothman.house.gov/,2025-03-13 10:18:19.954016
165,"Guest, Michael",Mississippi,03,R,(202) 225-5031,Appropriations|Homeland Security|Ethics,https://guest.house.gov/,2025-03-13 10:18:19.954852
166,"Guthrie, Brett",Kentucky,02,R,(202) 225-3501,Energy and Commerce,https://guthrie.house.gov/,2025-03-13 10:18:19.955669
167,"Hageman, Harriet",Wyoming,At Large,R,(202) 225-2311,Natural Resources|Judiciary,https://hageman.house.gov/,2025-03-13 10:18:19.956636
168,"Hamadeh, Abraham",Arizona,08,R,(202) 225-4576,Armed Services|Veterans' Affairs,https://hamadeh.house.gov/,2025-03-13 10:18:19.95749
169,"Harder, Josh",California,09,D,(202) 225-4540,Appropriations,https://harder.house.gov/,2025-03-13 10:18:19.95836
170,"Haridopolos, Mike",Florida,08,R,(202) 225-3671,"Financial Services|Science, Space, and Technology",https://haridopolos.house.gov/,2025-03-13 10:18:19.9592
171,"Harrigan, Pat",North Carolina,10,R,(202) 225-2576,"Armed Services|Science, Space, and Technology",https://harrigan.house.gov/,2025-03-13 10:18:19.959971
172,"Harris, Andy",Maryland,01,R,(202) 225-5311,Appropriations,https://harris.house.gov/,2025-03-13 10:18:19.960809
173,"Harris, Mark",North Carolina,08,R,(202) 225-1976,Agriculture|Education and Workforce|Judiciary,https://markharris.house.gov/,2025-03-13 10:18:19.961591
174,"Harshbarger, Diana",Tennessee,01,R,(202) 225-6356,Energy and Commerce,https://harshbarger.house.gov/,2025-03-13 10:18:19.962376
175,"Hayes, Jahana",Connecticut,05,D,(202) 225-4476,Agriculture|Education and Workforce,https://hayes.house.gov/,2025-03-13 10:18:19.963446
176,"Hern, Kevin",Oklahoma,01,R,(202) 225-2211,Ways and Means,https://hern.house.gov/,2025-03-13 10:18:19.964446
177,"Hernandez, Pablo",Puerto Rico Resident Commissioner,At Large,D,(202) 225-2615,Homeland Security|Natural Resources,https://hernandez.house.gov/,2025-03-13 10:18:19.965264
178,"Higgins, Clay",Louisiana,03,R,(202) 225-2031,Armed Services|Oversight and Government Reform|Homeland Security,https://clayhiggins.house.gov/,2025-03-13 10:18:19.966105
179,"Hill, J.",Arkansas,02,R,(202) 225-2506,Financial Services|Intelligence,https://hill.house.gov/,2025-03-13 10:18:19.966943
180,"Himes, James",Connecticut,04,D,(202) 225-5541,Financial Services|Intelligence,https://himes.house.gov/,2025-03-13 10:18:19.967793
181,"Hinson, Ashley",Iowa,02,R,(202) 225-2911,Appropriations|Select Comm on the Strategic Competition US and China,https://hinson.house.gov/,2025-03-13 10:18:19.968896
182,"Horsford, Steven",Nevada,04,D,(202) 225-9894,Ways and Means,https://horsford.house.gov/,2025-03-13 10:18:19.969717
183,"Houchin, Erin",Indiana,09,R,(202) 225-5315,Budget|Education and Workforce|Energy and Commerce|Rules,https://houchin.house.gov/,2025-03-13 10:18:19.970582
184,"Houlahan, Chrissy",Pennsylvania,06,D,(202) 225-4315,Armed Services|Intelligence,https://houlahan.house.gov/,2025-03-13 10:18:19.971532
185,"Hoyer, Steny",Maryland,05,D,(202) 225-4131,Appropriations,https://hoyer.house.gov/,2025-03-13 10:18:19.972312
186,"Hoyle, Val",Oregon,04,D,(202) 225-6416,Natural Resources|Transportation and Infrastructure,https://hoyle.house.gov/,2025-03-13 10:18:19.973194
187,"Hudson, Richard",North Carolina,09,R,(202) 225-3715,Energy and Commerce,https://hudson.house.gov/,2025-03-13 10:18:19.97407
